Last Earnings Date,Exp. Next Earnings Date (BBG),Confirmed / Estimated Date (BBG),Exp. Next Earnings Date (HC),Confirmed / Estimated Date (HC),Enterprise Value (US$),Market Cap ($US),Unnamed: 7,Unnamed: 8,Unnamed: 9,Price / NAV Consensus,Price / CF,Unnamed: 12,Unnamed: 13,FCF Yield %,Unnamed: 15,Price / Earnings,Unnamed: 17,Unnamed: 18,Net Debt / EBITDA, Debt / Equity,EV / EBITDA,Unnamed: 22,Unnamed: 23,Dividend Yield %,Unnamed: 25,Unnamed: 26,Stock of Interest
,,,,,,,,"Bloomberg
Ticker",Ticker,,FY2024,FY2025,FY2026,FY2024,FY2025,FY2024,FY2025,FY2026,FY2024,,FY2024,FY2025,FY2026,,,,
SNL_EARNINGS_RELEASE_DATE,EXPECTED_REPORT_DT,EXPECTED_REPORT_TYP,,,,,,,,SP_PNAVPS_FWD,SP_PCFPS_FWD,,,SP_FCF_EST,SP_FCF_FWD,SP_PE_FWD,,,IQ_NET_DEBT,SP_DEBT_TO_EQUITY,SP_TEV_EBITDA_FWD,,,SP_DIV_YIELD,,,
,,,,,,,,,,,,,,,,,,,FQ0,FH0,,,,,,,
,,,,,,,North American,,,,,,,,,,,,,,,,,,,,
,,,18/10/2024,Estimated,,,Alcoa,AA US Equity,NYSE:AA,,,,,,,,,,,,,,,,,,YES
,,,,,,,Century Aluminium,,NASDAQGS:CENX,,,,,,,,,,,,,,,,,,NO
,,,,,,,Constellium SE,,NYSE:CSTM,,,,,,,,,,,,,,,,,,NO
,,,,,,,Kaiser Aluminum,,NASDAQGS:KALU,,,,,,,,,,,,,,,,,,NO
,,,,,,,,,Average,,,,,,,,,,,,,,,,,,
,,,,,,,Other,,,,,,,,,,,,,,,,,,,,
,,,,,,,Norsk Hydro ,,OB:NHY,,,,,,,,,,,,,,,,,,NO
,,,,,,,Granges AB,,OM:GRNG,,,,,,,,,,,,,,,,,,NO
,,,,,,,AMAG Austria Metall,,WBAG:AMAG,,,,,,,,,,,,,,,,,,NO
,,,,,,,,,Average,,,,,,,,,,,,,,,,,,
