Unnamed: 0,Unnamed: 1,0.2,0.2.1,0.2.2,0.2.3,0.2.4,0.2.5
Conviction,,P/NAV Filter,P/CF 25 Filter,EV/Prodn 25 filter,EV/Reserves,EV/EBITDA 25,P/NAV v historical since 2018
,Senior Producers,,,,,,
,Antofagasta,,,,,,
,First Quantum,,,,,,
,Freeport McMoRan,,,,,,
,Southern Copper,,,,,,
,Teck Resources,,,,,,
,Intermediate Producers,,,,,,
,Capstone,,,,,,
,Hudbay,,,,,,
,Ivanhoe,,,,,,
,Lundin,,,,,,
,Junior Producers,,,,,,
Buy,Atalaya Mining,,,,,,
,Central Asia Metals,,,,,,
Sell,Ero Copper,,,,,,
,Sandfire,,,,,,
Buy,Taseko,,,,,,
,29 Metals,,,,,,
,Aeris Resources,,,,,,
,AIC Mines,,,,,,
,Metals Acquisition Corp,,,,,,
