Last Earnings Date,Exp. Next Earnings Date (BBG),Confirmed / Estimated Date (BBG),Sales Result,Exp. Next Earnings Date (HC),Confirmed / Estimated Date (HC),Sales Result.1,Enterprise Value (US$),Market Cap ($US),Unnamed: 9,Unnamed: 10,Unnamed: 11,Price / NAV Consensus,Price / CF,Unnamed: 14,Unnamed: 15,FCF Yield %,Unnamed: 17,Unnamed: 18,Price / Earnings,Unnamed: 20,Unnamed: 21,Net Debt / EBITDA, Debt / Equity,EV / EBITDA,Unnamed: 25,Unnamed: 26,Dividend Yield %,Copper Production (kt),Unnamed: 29,Unnamed: 30,Iron Ore Production (kt),Unnamed: 32,Unnamed: 33,Cu Cash Costs ($/lb),Unnamed: 35,Unnamed: 36,Unnamed: 37,Fe Cash Costs ($/t),Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Model (Y/N),Priority?,Stock of Interest,Comment
,,,"Date
(BBG)",,,"Date
(HC)",,,,"Bloomberg
Ticker",Ticker,,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,FY2025,,FY2024,FY2025,FY2026,,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,2022Y,2023Y,2024Y,2025Y,2022Y,2023Y,2024Y,2025Y,,,,,
SNL_EARNINGS_RELEASE_DATE,EXPECTED_REPORT_DT,EXPECTED_REPORT_TYP,SALES_RESULT_DATE,,,,,,,,,SP_PNAVPS_FWD,SP_PCFPS_FWD,,,SP_FCF_EST,SP_FCF_FWD,,SP_PE_FWD,,,IQ_NET_DEBT,SP_DEBT_TO_EQUITY,SP_TEV_EBITDA_FWD,,,SP_DIV_YIELD,SP_COPPER_PRODUCTION_EST,,,SP_IRON_ORE_PRODUCTION_EST,,,,SNL_CASH_COST_LB,SNL_PROJ_CASH_COST_HIGH_LB,,SNL_CASH_COST_TONNE,,SNL_PROJ_CASH_COST_HIGH_TONNE,,,,,,
,,,,,,,,,,,,,,,,,,,,,,FQ0,FH0,,,,,,,,,,,,Cu,SNL_PROJ_CASH_COST_LOW_LB,,,Fe,SNL_PROJ_CASH_COST_LOW_TONNE,,,,,,
,,,,,,,,,DIVERSIFIEDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-05 00:00:00,,,,31/07/2025,Confirmed,24/07/2025,65983.10453830005,51080.979537426465,Anglo American,AAL LN Equity,LSE:AAL,1.4642389520460182,4.8182971970983,11.0659037789502,7.9592807146916,0.023285314431539295,0.025528093075125425,0.0643559833771665,18.1290316853368,71.9748148130411,26.5665535063582,1.3798606743827742,,6.1968151665126,10.2855276901898,8.0898902643454,0.6863766790511574,766.92857,705.2,730.8,60450,60325,56500,1.54,1.66,1.57,1.51,38,38,37,36,,N,,YES,
2026-01-20 00:00:00,,,,18/08/2025,Confirmed,17/07/2025,209525.13230220394,187556.56268208183,BHP,BHP AU Equity,ASX:BHP,1.0628698876880696,7.0200016351416,7.8181004993479,8.8518998717949,0.05597687358877474,0.039385604344441945,0.057863344501550756,10.1932516627062,13.5486719209051,14.273598748393,0.6029049959706156,0.526,5.399518997934,5.9935666551252,6.5922861875597,3.600843373493976,1833.44444,1998,1935.3,257428.57143,260900,266281.81818,,,,,16.81,17.79,,,,N,,YES,
2026-01-29 00:00:00,,,,06/08/2025,Confirmed,30/04/2025,111124.18182670842,76960.47768274884,Glencore,GLEN LN Equity,LSE:GLEN,1.155922289468662,4.8542600980306,13.038264634605,6.6760172667749,0.06908221154650848,0.02667249556924374,0.06339617615307054,15.4270581866239,34.9530851922349,14.9281942796266,2.9907600053570085,,5.3731484976238,8.3834664023815,6.1972456658417,1.5209876543209875,960.8,854.12857,842.31429,0,0,0,0.803,,-1.645,1.72,,,,,,N,,YES,
2026-01-21 00:00:00,,,,30/07/2025,Confirmed,15/07/2025,181293.25650086586,163450.59821997522,Rio Tinto,RIO LN Equity,LSE:RIO,1.3625361767672635,6.8374445881329,9.8527236795184,8.3687209330357,0.035472933798607664,0.03663971723089181,0.06314420480804751,9.4414857342199,14.5784375104167,11.9915785064935,0.5783921399485449,,4.9923758186224,7.3296934552878,6.5279406674813,3.998981309724564,667.63,853.28571,833.125,307900,285760,307100,1.63,1.95,1.5,0.9,,,,,,N,,YES,
2026-01-27 00:00:00,,,,01/08/2025,Confirmed,23/07/2025,82880.71296932804,71045.65443575423,Vale,VALE US Equity,NYSE:VALE,0.90536385,4.6463383443,7.943762912,6.0558278773,0.06666194727339372,0.05943180428886389,0.08531938340410967,5.0938282118,8.1421932388,7.4794315632,0.7236200541738191,0.547,3.5732216905918,5.8642540092898,4.786830118138,,338.71429,365.64,369.49,325355.625,333781.91667,338600,,,,,19.6,22.3,22.25,21.25,,N,,NO,
,,,,,,,13922.795249410548,13883.612937330754,South 32,S32 AU Equity,ASX:S32,0.9279804478349932,8.0500744546132,5.7586570347651,8.049579380024,-0.005978270956893838,0.026992253507180312,0.0049698879039237935,27.2468875550132,12.2566694507765,15.3064784272092,0.013616690712017683,0.182,6.4047410514599,4.6412453635062,6.2292962478253,2.0961389521640093,63.33333,74.15,72.125,0,0,0,,,,,,,,,,,,,
