Last Earnings Date,Exp. Next Earnings Date (BBG),Confirmed / Estimated Date (BBG),Exp. Next Earnings Date (HC),Confirmed / Estimated Date (HC),Enterprise Value (US$),Market Cap ($US),Unnamed: 7,Unnamed: 8,Unnamed: 9,Price / NAV Consensus,Price / CF,Unnamed: 12,Unnamed: 13,FCF Yield %,Unnamed: 15,Unnamed: 16,Price / Earnings,Unnamed: 18,Unnamed: 19,Net Debt / EBITDA, Debt / Equity,Production guidance Ag (koz),Unnamed: 23,Unnamed: 24,AISC Reported ($/oz),Unnamed: 26,Unnamed: 27,AISC Guidance ($/oz),Unnamed: 29,Unnamed: 30,Cash Costs Reported ($/oz),Unnamed: 32,Unnamed: 33,Cash Cost Guidance ($/oz),Unnamed: 35,Unnamed: 36,Unnamed: 37,Model (Y/N),Priority?,Stock of Interest,Comment
,,,,,,,,"Bloomberg
Ticker",Ticker,,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,FY2024,,2024Y,2025Y,2026Y,2021Y,2022Y,2023Y,2024Y,2025Y,2026Y,2021Y,2022Y,2023Y,2024Y,2025Y,2026Y,,,,,
SNL_EARNINGS_RELEASE_DATE,EXPECTED_REPORT_DT,EXPECTED_REPORT_TYP,,,,,,,,SP_PNAVPS_FWD,SP_PCFPS_FWD,,,SP_FCF_EST,SP_FCF_FWD,,SP_PE_FWD,,,IQ_NET_DEBT,SP_DEBT_TO_EQUITY,SNL_CONS_PRODUCTION_PROJECTION_HIGH_OZ,,,SNL_ALL_IN_SUSTAINING_COST_OZ,,,SNL_PROJ_ALL_IN_SUSTAINING_COST_HIGH_OZ,,,SNL_CASH_COST_OZ,,,SNL_PROJ_CASH_COST_HIGH_OZ,,,,,,,
,,,,,,,,,,,,,,,,,,,,FQ0,FH0,SNL_CONS_PRODUCTION_PROJECTION_LOW_OZ,,,,,,SNL_PROJ_ALL_IN_SUSTAINING_COST_LOW_OZ,,,,,,SNL_PROJ_CASH_COST_LOW_OZ,,,,,,,
,,,,,,,Senior Producers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,28/07/2025,Confirmed,,,Anglo American Platinum ,AMS SJ Equity,JSE:AMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,YES,
,,,28/08/2025,Confirmed,,,Impala Platinum ,IMP SJ Equity,JSE:IMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,NO,
,,,28/08/2025,Confirmed,,,Sibanye Stillwater ,SSW SJ Equity,JSE:SSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,YES,
,,,23/05/2025,Estimated,,,Tharisa,THA SJ Equity,JSE:THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,NO,
,,,30/04/2025,Estimated,,,Sylvania Platinum,SLP LN Equity,AIM:SLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,NO,
,,,29/08/2025,Estimated,,,Northam Platinum,NPH SJ Equity,JSE:NPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,NO,
,,,,,,,,,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,NO,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,,,,
