Last Earnings Date,Exp. Next Earnings Date (BBG),Confirmed / Estimated Date (BBG),Sales Result,Exp. Next Earnings Date (HC),Confirmed / Estimated Date (HC),Sales Result.1,Enterprise Value (US$),Market Cap ($US),Unnamed: 9,Unnamed: 10,Unnamed: 11,Price / NAV,Price / CF,Unnamed: 14,Unnamed: 15,FCF Yield %,Unnamed: 17,Price / Earnings,Unnamed: 19,Unnamed: 20,Net Debt / EBITDA, Debt / Equity,Reserves,M&I Resources,"M,I&I",EV/Metrics ($/lb),Unnamed: 27,Unnamed: 28,U3O8 Cash Costs ($/lb),Unnamed: 30,Unnamed: 31,Unnamed: 32,Model (Y/N),Priority?,Stock of Interest,Comment
,,,"Date
(BBG)",,,"Date
(HC)",,,,"Bloomberg
Ticker",Ticker,,FY2024,FY2025,FY2026,FY2024,FY2025,FY2024,FY2025,FY2026,FY2024,,U3O8,2025Y,2026Y,Reserves,M&I,"M,I&I",2022Y,2023Y,2024Y,,,,,
SNL_EARNINGS_RELEASE_DATE,EXPECTED_REPORT_DT,EXPECTED_REPORT_TYP,SALES_RESULT_DATE,,,,,,,,,SP_PNAVPS_FWD,SP_PCFPS_FWD,,,SP_FCF_EST,SP_FCF_FWD,SP_PE_FWD,,,IQ_NET_DEBT,SP_DEBT_TO_EQUITY,SNL_ATTRIBUTABLE_RESV_LB,SNL_ATTRIBUTABLE_M_AND_I_RESRC_LB,SNL_ATTRIBUTABLE_TOTAL_RESRC_LB,,,,SNL_CASH_COST_LB,SNL_CASH_COST_LB,SNL_PROJ_CASH_COST_HIGH_LB,,,,,
,,,,,,,,,,,,,,,,,,,,,FQ0,FH0,MRQ,,,,,,U3O8,,SNL_PROJ_CASH_COST_LOW_LB,,,,,
,,,,,,,,,Producers,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,01/05/2025,Confirmed,,,,Cameco,CCO CN Equity,TSX:CCO,,,,,,,,,,,,,,,,,,,,,,N,,YES,
,,,,09/05/2025,Estimated,,,,EnCore Energy,EU CN Equity,TSXV:EU,,,,,,,,,,,,,,,,,,,,,,N,,NO,
,,,,07/05/2025,Tentative,,,,Energy Fuels,EFR CN Equity,TSX:EFR,,,,,,,,,,,,,,,,,,,,,,N,,NO,
,,,,23/05/2025,Estimated,,,,Kazatomprom,KAP LI Equity,LSE:KAP,,,,,,,,,,,,,,,,,,,,,,N,,YES,
,,,,06/05/2025,Estimated,,,,Ur-Energy,URE CN Equity,TSX:URE,,,,,,,,,,,,,,,,,,,,,,N,,NO,
,,,,29/08/2025,Estimated,29/04/2025,,,Boss Energy,BOE AU Equity,ASX:BOE,,,,,,,,,,,,,,,,,,,,,,Y,,YES,
,,,,29/08/2025,Estimated,,,,Paladin,PDN AU Equity,ASX:PDN,,,,,,,,,,,,,,,,,,,,,,Y,,YES,
,,,,10/06/2025,Estimated,,,,Uranium Energy Corporation,UEC US Equity,NYSEAM:UEC,,,,,,,,,,,,,,,,,,,,,,N,,YES,
,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Developers & Explorers,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29/09/2025,Estimated,,,,Alligator Energy,AGE AU Equity,ASX:AGE,,,,,,,,,,,,,,,NM,NM,NM,,,,,N,,NO,
,,,,29/09/2025,Estimated,,,,Aura Energy,AEE AU Equity,ASX:AEE,,,,,,,,,,,,,,,NM,NM,NM,,,,,N,,NO,
,,,,19/09/2025,Estimated,,,,Bannerman,BMN AU Equity,ASX:BMN,,,,,,,,,,,,,,,NM,NM,NM,,,,,N,,NO,
,,,,27/08/2025,Estimated,,,,Berkeley Energia,BKY AU Equity,ASX:BKY ,,,,,,,,,,,,,,,NM,NM,NM,,,,,N,,NO,
,,,,29/09/2025,Estimated,,,,Deep Yellow,DYL AU Equity,ASX:DYL,,,,,,,,,,,,,,,NM,NM,NM,,,,,N,,NO,
,,,,12/05/2025,Confirmed,,,,Denison,DML CN Equity,TSX:DML,,,,,,,,,,,,,,,NM,NM,NM,,,,,N,,NO,
,,,,29/09/2025,Estimated,,,,Elevate Uranium,EL8 AU Equity,ASX:EL8,,,,,,,,,,,,,,,NM,NM,NM,,,,,N,,NO,
,,,,14/05/2025,Estimated,,,,Forsys,FSY CN Equity,TSX:FSY,,,,,,,,,,,,,,,NM,NM,NM,,,,,N,,NO,
,,,,13/05/2025,Estimated,,,,Global Atomic Corporation,GLO CN Equity,TSX:GLO,,,,,,,,,,,,,,,NM,NM,NM,,,,,N,,NO,
,,,,25/04/2025,Estimated,,,,GoviEx Uranium,GXU CN Equity,TSXV:GXU,,,,,,,,,,,,,,,NM,NM,NM,,,,,N,,NO,
,,,,08/05/2025,Estimated,,,,IsoEnergy,ISO CN Equity,TSX:ISO,,,,,,,,,,,,,,,NM,NM,NM,,,,,N,,NO,
,,,,25/07/2025,Estimated,,,,Laramide,AM CN Equity,TSX:LAM,,,,,,,,,,,,,,,NM,NM,NM,,,,,N,,NO,
,,,,03/09/2025,Estimated,,,,Lotus Resources,LOT AU Equity,ASX:LOT,,,,,,,,,,,,,,,NM,NM,NM,,,,,Y,,YES,
,,,,08/05/2025,Estimated,,,,NexGen Energy,NXE CN Equity,TSX:NXE,,,,,,,,,,,,,,,NM,NM,NM,,,,,Y,,YES,
,,,,10/09/2025,Estimated,,,,Peninsula Energy,PEN AU Equity,ASX:PEN,,,,,,,,,,,,,,,NM,NM,NM,,,,,N,,NO,
,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,,,,,,,,
